userId,propertyId,rating
1,50,5
1,70,3
1,101,5
1,151,5
1,157,5
1,163,5
1,216,5
1,231,5
1,235,4
1,296,3
1,316,3
1,349,4
1,362,5
1,423,3
1,441,4
1,480,4
1,500,3
1,543,4
1,552,4
1,553,5
1,590,4
1,593,4
1,596,5
1,608,5
1,648,3
1,673,3
1,733,4
1,736,3
1,780,3
1,804,4
1,919,5
1,923,5
1,940,5
1,943,4
1,954,5
1,1009,3
1,1023,5
1,1024,5
1,1025,5
1,1029,5
1,1030,3
1,1031,5
1,1032,5
1,1042,4
1,1049,5
1,1060,4
1,1073,5
1,1080,5
1,1089,5
1,1090,4
1,1092,5
1,1097,5
1,1127,4
1,1136,5
1,1196,5
1,1197,5
1,1198,5
1,1206,5
1,1208,4
1,1210,5
1,1213,5
1,1214,4
1,1219,2
1,1220,5
1,1222,5
1,1224,5
1,1226,5
1,1240,5
1,1256,5
1,1258,3
1,1265,4
1,1270,5
1,1275,5
1,1278,5
1,1282,5
1,1291,5
1,1298,5
1,1805,4
2,318,3
3,849,5
3,1371,3
4,21,3
4,32,2
4,45,3
4,47,2
4,52,3
4,106,4
4,125,5
4,126,1
4,162,5
4,171,3
4,176,5
4,190,2
4,215,5
4,222,1
4,232,5
4,235,2
4,247,3
4,265,5
4,595,3
4,599,2
4,608,5
4,648,3
4,708,4
4,759,3
4,800,4
4,892,4
4,898,5
4,1103,5
4,1136,5
4,1179,4
4,1183,1
4,1188,5
4,1196,5
4,1197,5
4,1198,3
4,1199,2
4,1203,5
4,1211,1
4,1213,4
4,1219,4
4,1225,4
4,1250,5
4,1259,4
4,1265,4
4,1266,4
4,1279,2
4,1282,5
4,1283,5
4,1288,4
4,1291,4
4,1304,3
4,1391,1
4,1449,5
4,1466,4
4,1500,4
4,1517,4
4,1580,3
4,1597,1
5,39,3
5,110,4
5,150,3
5,153,3
5,232,4
5,261,4
5,265,3
5,290,5
5,296,5
5,300,3
5,318,3
5,344,3
5,349,3
5,357,2
5,364,3
5,380,2
5,475,5
5,515,3
5,531,4
5,534,3
5,589,3
5,592,3
5,594,5
5,596,5
5,597,3
5,608,3
6,3,5
6,4,3
6,5,5
6,6,4
6,7,4
6,8,3
6,10,3
6,11,4
6,13,3
6,15,4
6,17,4
6,19,2
6,21,2
6,22,5
6,24,4
6,25,3
6,26,4
6,27,3
6,31,3
6,41,4
6,43,4
6,45,3
6,46,4
6,47,4
6,50,1
6,54,4
6,60,4
6,61,4
6,62,4
6,65,3
6,66,3
6,76,4
6,79,3
6,86,5
6,87,3
6,88,2
6,89,4
6,92,4
6,93,4
6,95,4
6,100,3
6,102,1
6,104,4
6,105,3
6,110,5
6,113,3
6,126,3
6,140,3
6,141,4
6,145,4
6,146,4
6,150,4
6,151,4
6,159,3
6,160,5
6,161,3
6,163,3
6,165,3
6,168,5
6,170,3
6,171,3
6,174,3
6,177,3
6,179,1
6,180,2
6,181,3
6,186,3
6,189,3
6,252,4
6,253,3
6,254,3
6,256,3
6,257,5
6,258,3
6,261,4
6,262,5
6,266,3
6,267,3
6,270,3
6,271,4
6,273,3
6,274,4
6,276,4
6,277,5
6,279,3
6,281,4
6,282,3
6,289,3
6,291,3
6,292,4
6,293,3
6,302,3
6,303,3
6,304,4
6,310,3
6,312,1
6,313,3
6,314,5
6,315,4
6,317,4
6,318,5
6,327,1
6,329,4
6,330,3
6,332,3
6,333,5
6,336,3
6,337,5
6,339,4
6,340,4
6,342,3
6,343,3
6,344,3
6,347,3
6,348,3
6,349,5
6,350,5
6,351,4
6,352,3
6,353,4
6,354,4
6,355,4
6,356,5
6,358,3
6,359,3
6,360,3
6,361,4
6,366,3
6,368,5
6,370,4
6,371,3
6,374,3
6,377,5
