userId,propertyId,rating
1,7,4
1,32,2
1,168,5
1,282,3
1,349,5
1,1275,5
2,8,3
2,45,3
2,79,3
2,101,5
2,170,3
2,288,2
2,350,5
2,1278,5
2,1449,5
3,10,3
3,47,2
3,86,5
3,110,4
3,171,3
3,289,3
3,736,3
3,1282,5
3,1466,4
4,11,4
4,52,3
4,87,3
4,291,3
4,352,3
4,419,3
4,475,5
4,759,3
4,1291,5
4,1500,4
5,13,3
5,58,3
5,88,2
5,157,5
5,177,3
5,515,3
5,780,3
5,1298,5
5,1517,4
6,15,4
6,89,4
6,106,4
6,163,5
6,432,5
6,531,4
6,800,4
6,1580,3
6,1805,4
7,16,4
7,92,4
7,125,5
7,180,2
7,216,5
7,231,5
7,296,2
7,355,4
7,434,4
7,534,3
7,892,4
7,1597,1
8,17,4
8,36,4
8,93,4
8,126,1
8,181,3
8,223,3
8,235,4
8,302,3
8,356,5
8,435,3
8,588,4
8,898,5
9,19,2
9,39,3
9,95,4
9,162,5
9,185,3
9,260,5
9,303,3
9,357,3
9,437,3
9,589,3
9,1090,4
9,1103,5
10,21,2
10,50,4
10,100,3
10,171,3
10,186,3
10,296,3
10,304,4
10,358,3
10,440,4
10,590,5
10,1092,5
10,1136,5
11,22,5
11,58,5
11,102,1
11,176,5
11,189,3
11,310,3
11,316,3
11,359,3
11,445,3
11,592,3
11,1097,5
11,1179,4
12,24,4
12,104,4
12,150,3
12,190,2
12,252,4
12,312,1
12,318,3
12,360,3
12,450,4
12,594,5
12,1127,4
12,1183,1
13,25,3
13,105,3
13,153,3
13,215,5
13,253,3
13,313,3
13,333,4
13,361,4
13,454,4
13,595,5
13,1136,5
13,1188,5
14,26,4
14,112,4
14,222,1
14,232,4
14,254,3
14,314,5
14,333,5
14,362,3
14,455,3
14,596,5
14,1196,5
14,1198,3
15,27,3
15,113,3
15,232,5
15,247,5
15,256,3
15,315,4
15,349,4
15,364,5
15,457,5
15,597,3
15,1197,5
15,1199,2
16,31,3
16,126,3
16,235,2
16,253,3
16,257,5
16,317,4
16,356,4
16,366,3
16,458,3
16,608,3
16,1203,5
16,1206,5
17,32,4
17,135,3
17,247,3
17,258,3
17,261,4
17,327,1
17,362,5
17,367,3
17,460,3
17,804,4
17,1208,4
17,1211,1
18,34,4
18,140,3
18,260,5
18,261,4
18,265,3
18,329,4
18,367,4
18,466,2
18,919,5
18,1210,5
18,1213,4
19,36,5
19,141,4
19,262,5
19,266,1
19,330,3
19,368,5
19,423,3
19,468,4
19,923,5
19,1213,5
19,1219,4
20,41,4
20,145,4
20,265,3
20,290,5
20,332,3
20,370,4
20,441,4
20,469,4
20,592,4
20,940,5
20,1214,4
20,1225,4
21,43,4
21,146,4
21,266,3
21,296,5
21,333,5
21,371,3
21,457,5
21,472,3
21,593,4
21,943,4
21,1219,2
21,1250,5
22,45,3
22,150,4
22,267,3
22,300,3
22,336,3
22,374,3
22,474,4
22,480,4
22,595,3
22,954,5
22,1220,5
22,1259,4
23,46,4
23,151,4
23,270,3
23,316,2
23,337,5
23,377,5
23,475,4
23,500,3
23,596,5
23,1009,3
23,1222,5
23,1265,4
24,50,1
24,153,3
24,271,4
24,318,3
24,339,4
24,378,3
24,477,4
24,543,4
24,599,2
24,1023,5
24,1224,5
24,1266,4
25,54,4
25,158,4
25,273,3
25,340,4
25,344,3
25,380,4
25,480,5
25,552,4
25,608,5
25,1024,5
25,1226,5
25,1279,2
26,60,4
26,159,3
26,274,4
26,342,3
26,349,3
26,381,3
26,485,3
26,553,5
26,608,5
26,1025,5
26,1240,5
26,1282,5
27,3,5
27,61,4
27,160,5
27,276,4
27,343,3
27,357,2
27,382,3
27,489,3
27,590,4
27,648,3
27,1256,5
27,1283,5
28,4,3
28,62,4
28,161,3
